title,url_2022,url_2026,score,rank,popularity,has_v2022,has_v2026,v2022_saturation_mean,v2022_brightness_mean,v2022_contrast_rms,v2022_edge_density,v2022_color_entropy,v2026_saturation_mean,v2026_brightness_mean,v2026_contrast_rms,v2026_edge_density,v2026_color_entropy,diff_edge,diff_sat,diff_bright,diff_entropy,cover_changed
Secret Playlist,https://webtoon-phinf.pstatic.net/20201212_28/1607741277092hfNtE_JPEG/4SecretPlaylist_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/2/261256l.jpg,6.85,12168.0,10818,True,True,25.6443,220.1468,68.2197,9.6848,4.1145,63.9969,211.7011,61.489,8.938,7.0375,0.7467999999999986,38.352599999999995,8.445700000000016,2.9229999,True
"Date First, Love Later",https://webtoon-phinf.pstatic.net/20210923_181/1632358380903KssVG_JPEG/8Date+First2C+Love+Later_Launch_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/1/263025l.jpg,6.54,17448.0,16508,True,True,18.9273,219.313,67.3232,7.3492,5.0585,36.8048,200.5898,68.6796,8.5982,7.2961,1.2490000000000006,17.8775,18.72319999999999,2.2376003,True
Let Me Stay Over Tonight!,https://webtoon-phinf.pstatic.net/20210430_90/16197438555910TEEm_JPEG/5Let+me+Stay+Over+Tonight_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/2/262697l.jpg,6.36,19645.0,26771,True,True,46.0724,221.201,72.9554,4.9365,4.1792,88.6825,195.8548,54.3526,10.1655,7.4561,5.229,42.6101,25.346199999999982,3.2768998,True
The Blood of the Butterfly,https://webtoon-phinf.pstatic.net/20210729_106/16275075210596m5SX_JPEG/6TheBloodoftheButterflyLaunch_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/1/263036l.jpg,7.4,4295.0,8681,True,True,48.6967,199.5274,96.9118,7.2018,4.5663,165.8754,136.1428,77.2619,5.4101,7.2369,1.7917000000000005,117.17870000000002,63.384600000000006,2.6706,True
A Chance At Last,https://webtoon-phinf.pstatic.net/20220203_80/16438577292250DsMa_JPEG/8A+Chance+At+Last_Launch_thumbnail_desktop.jpg?type=a210,https://myanimelist.net/images/manga/1/264426l.jpg,7.02,9477.0,13703,True,True,29.1066,219.2416,74.2029,10.22,4.6012,47.851,178.3481,69.8889,9.9971,7.6673,0.222900000000001,18.7444,40.89350000000002,3.0661001,True
Neon Revenge,https://webtoon-phinf.pstatic.net/20210309_241/1615271474582KqlbG_JPEG/8NeonRevenge_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/3/262298l.jpg,6.67,15297.0,11175,True,True,26.6476,208.3666,80.1024,6.9841,4.872,158.5749,108.485,79.6101,4.5519,6.6621,2.4322,131.9273,99.8816,1.7900996,True
No Longer A Heroine!,https://webtoon-phinf.pstatic.net/20201125_163/1606257637674zUoh1_JPEG/510_EC8DB8EB84A4EC9DBC_ipad.jpg?type=a210,https://myanimelist.net/images/manga/3/270826l.jpg,7.29,5443.0,13407,True,True,30.4222,224.4247,60.2269,5.5828,3.8711,117.6383,216.1715,46.3554,9.5248,5.8316,3.942000000000001,87.2161,8.253199999999993,1.9605002,True
Back to You,https://webtoon-phinf.pstatic.net/20210329_266/16170163887226RRbG_JPEG/0Back-to-You_ipad.jpg?type=a210,https://myanimelist.net/images/manga/1/252437l.jpg,7.37,4530.0,8297,True,True,41.4946,211.1805,79.5899,7.9274,4.6267,71.7497,214.8728,67.1057,7.215,7.2782,0.7123999999999997,30.255100000000006,3.6923000000000172,2.6515002,True
To Not Die,https://webtoon-phinf.pstatic.net/20211222_117/1640126836365wpHl1_JPEG/7ToNotDie_thumbnail_desktop.jpg?type=a210,https://myanimelist.net/images/manga/1/264617l.jpg,7.46,3702.0,3677,True,True,36.2754,172.1218,102.7669,8.6621,4.6796,91.2638,78.2151,52.1793,6.0946,7.2488,2.567500000000001,54.988400000000006,93.9067,2.5692,True
Flawed Almighty,https://webtoon-phinf.pstatic.net/20211030_240/16355286295148UvM1_JPEG/1FlawedAlmighty_Launch_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/3/260842l.jpg,7.45,3732.0,7409,True,True,37.9602,181.9802,99.1179,6.8277,4.7414,52.8341,141.0874,80.7485,4.8643,7.6191,1.9634,14.873899999999999,40.892799999999994,2.8777003,True
After School Lessonsfor Unripe Apples,https://webtoon-phinf.pstatic.net/20210714_199/1626209417276Mdwbd_JPEG/2AfterSchoolLessonsForUnripeApples_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/1/261508l.jpg,8.5,172.0,2570,True,True,11.7343,221.6132,77.4455,6.5964,3.085,92.9182,187.5162,75.0419,11.3651,7.3948,4.7687,81.1839,34.09700000000001,4.3098,True
Manager Kim,https://webtoon-phinf.pstatic.net/20220210_200/1644434119923OOHNV_JPEG/3ManagerKim_thumbnail_desktop.jpg?type=a210,https://myanimelist.net/images/manga/3/260734l.jpg,7.31,5185.0,2749,True,True,13.712,206.2613,90.2247,4.7982,3.0605,79.5875,108.2272,80.5429,7.9435,7.4214,3.1453000000000007,65.8755,98.03410000000001,4.3609,True
